07:53:40.688 16.05.2015 *5FA828E1465F2F;
07:53:44.027 16.05.2015 *5FA828E1465F2B;
07:53:44.093 16.05.2015 *5FA828E1465F2B;
07:53:44.226 16.05.2015 *5DA8067C83FACF;
07:53:45.210 16.05.2015 *5FA828E1465F2F;
07:53:46.978 16.05.2015 *02E6171A3CF1A5;
07:53:48.619 16.05.2015 *02E1971B1B384F;
07:53:49.729 16.05.2015 *02E1971CE4E86B;
07:53:59.035 16.05.2015 *202818B895735B;
07:54:02.311 16.05.2015 *58AAAB2F61D256;
07:54:06.571 16.05.2015 *5FA8103E136A11;
07:54:08.077 16.05.2015 *5FA828E1465F2B;
07:54:12.799 16.05.2015 *2028189F6B62CF;
07:54:22.036 16.05.2015 *2028189A94AEF0;
07:54:26.424 16.05.2015 *5DA8067C83FACD;
07:54:27.673 16.05.2015 *5DA8067C83FACC;
07:54:28.197 16.05.2015 *5DA8067C83FACF;
07:54:29.376 16.05.2015 *02E617363D784F;
07:54:30.491 16.05.2015 *2028189494FAB1;
07:54:31.080 16.05.2015 *2028189494FAB1;
07:54:31.799 16.05.2015 *02E197371AB1A5;
07:54:32.260 16.05.2015 *5DA8067C83FACF;
07:54:32.262 16.05.2015 *5DA8067C83FACC;
07:54:32.721 16.05.2015 *02E197371AB1A5;
07:54:35.407 16.05.2015 *02E19738E511ED;
07:54:35.668 16.05.2015 *02E19738E511ED;
07:54:36.714 16.05.2015 *02E19738E511ED;
07:54:36.716 16.05.2015 *02E19738E511ED;
07:54:36.717 16.05.2015 *02E19738E511ED;
07:54:38.287 16.05.2015 *02E61739C2D807;
07:54:38.421 16.05.2015 *5DA8067C83FACD;
07:54:39.012 16.05.2015 *2028183F6DA5BF;
07:54:39.339 16.05.2015 *02E61739C2D807;
07:54:40.517 16.05.2015 *02E1973AE50DF6;
07:54:43.074 16.05.2015 *2028183C924DAD;
07:54:44.059 16.05.2015 *5FA828E1465F2B;
07:54:44.122 16.05.2015 *5FA828E1465F2B;
07:54:44.185 16.05.2015 *5DA8067C83FACF;
07:55:17.213 16.05.2015 *02E6179DC42741;
07:55:25.997 16.05.2015 *58AAAB2F61D256;
07:55:29.011 16.05.2015 *5FA828E1465F28;
07:55:42.704 16.05.2015 *02E197BCE22F1B;
07:55:43.165 16.05.2015 *8EA4CDAE991458062814028B44A1;
07:55:43.232 16.05.2015 *8EA4CDAE58A20257737024FD8A3E;
07:55:44.147 16.05.2015 *5DA8067C83FACF;
07:55:44.150 16.05.2015 *5DA8067C83FACF;
07:55:47.688 16.05.2015 *02E197BF1DC709;
07:55:56.140 16.05.2015 *202817173658E3;
07:56:01.317 16.05.2015 *8EA4CDAE99145C052014036A3E6D;
07:56:07.939 16.05.2015 *8EA4CDAE588202583D6F3FA75F35;
07:56:08.132 16.05.2015 *5DA8067C83FACF;
07:56:14.291 16.05.2015 *02E6183198E4EB;
07:56:14.423 16.05.2015 *02E61832670CF9;
07:56:14.426 16.05.2015 *02E61832670CF9;
07:56:16.588 16.05.2015 *02E1983340C513;
07:56:16.782 16.05.2015 *02E1983340C513;
07:56:17.373 16.05.2015 *02E6183398F8F0;
07:56:27.398 16.05.2015 *20281617385563;
07:56:43.191 16.05.2015 *202815972D4523;
07:58:20.242 16.05.2015 *5FA340D2F2E881;
07:58:30.073 16.05.2015 *202817313CD54D;
07:58:30.399 16.05.2015 *202817313CD54D;
07:58:42.984 16.05.2015 *8EA4CDAE213B4C38DC8820E274D2;
07:58:43.181 16.05.2015 *5DA5939CFD6A35;
07:58:53.141 16.05.2015 *58AAAB2F61D25D;
07:59:01.133 16.05.2015 *5DA5939CFD6A35;
07:59:03.168 16.05.2015 *5DA5939CFD6A35;
07:59:05.327 16.05.2015 *5DA5939CFD6A35;
